"institutioncode","collectioncode","recordset","freq"
"tcwc","ichthyology","79dfdec6-3e24-489c-a7ce-85dcc52bc3f9",3124
"uf","uf","f9a33279-d6ba-41c7-a511-ef6adfcb6e20",2067
"mcz","ich","271a9ce9-c6d3-4b63-a722-cb0adc48863f",1976
"lacm","fish","2d853a6d-50ec-4931-8e91-48fc2491fdee",486
"ku","kuvp","1ebb0c8e-31f2-4564-b75d-65196bee4f09",303
"royal ontario museum: rom","vertebrate paleontology","2d86bdb0-a563-4a35-b990-469e9e896712",106
"rom","vertebrate paleontology","0b263d0e-6571-4883-946e-78baf248eb63",86
"ucmp","v","5ab348ab-439a-4697-925c-d6abe0c09b92",66
"nrm","nrm-fish","021e2617-7532-4cef-806c-690bed32ab84",64
"fsucml","zoological collection","fa83c2bd-926c-42f1-8cd4-d57c5fd21f33",62
"csuc","fish","8660ce9a-31c9-48ee-b5bc-9e6ba248ec0f",45
"sbmnh","fh","9d8ced48-62c5-4ce0-99e7-a03550c674c0",29
"clo","ml","da67ebd9-52de-444d-b114-e23c03111ac6",15
"instituto nacional de pesquisas da amazônia (inpa)","coleção ictiológica, instituto nacional de pesquisas da amazônia (inpa)","9e103d5f-fc45-4375-b416-802659e6dc1b",12
"ncsm","ncsm-vertpaleo","81316846-80cb-4913-8941-b31537761eb0",5
"msu","vp","9dce915b-3de4-4a7d-a68d-e4c4c15809ce",4
"bpbm","i","a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a",3
"sbmnh","os","9d8ced48-62c5-4ce0-99e7-a03550c674c0",3
"msu","vptc","9dce915b-3de4-4a7d-a68d-e4c4c15809ce",1
