"Waterbody","Count"
"red cedar river",1121
"augusta creek",412
"pigeon river",310
"lake lansing",186
"austin lake",138
"reelfoot lake",127
"magician lake",116
"maple river",114
"rifle river",108
"gulf of mexico",101
"south lake",87
"navasota river",80
"black river",74
"gull lake",70
"ford lake",69
"lapeer county",69
"burke lake",68
"fife lake",65
"caribbean sea",49
"potter lake",46
"detroit river",45
"little bear lake",43
"williams lake",42
"eagle lake",38
"goguac lake",38
"round lake",37
"lake erie",36
"lake pilot",34
"saint joseph river",28
"lake michigan",26
"rose lake",26
"mullett lake",23
"north lake",23
"silverbrook creek",22
"amur river",21
"flat river",21
"golden creek",21
"lake huron",21
"niobrara river",21
"nueces river",21
"atlantic ocean",20
"little brazos river",18
"bush creek",17
"matagorda bay",17
"grand river",16
"mill lake",16
"town corner lake",16
"brazos river",15
"pleasant lake",15
"cut river",13
"golfo de campeche",11
"bridge lake",10
"halfmoon lake",10
"ontonagon river",10
"shavehead lake",10
"stone lake",10
"fishdam river",9
"houghton creek",9
"pine river",9
"sebewa creek",9
"sullivan creek",9
"klacking creek",8
"little indian river",8
"milakokia river",8
"mona lake",8
"potato river",8
"corpus christi bay",7
"donnell lake",7
"thompson creek",7
"west bay",7
"campbell lake",6
"narrow lake",6
"salado creek",6
"sea of azov",6
"dickerson creek",5
"herron creek",5
"lake macbride",5
"mud lake",5
"san jacinto river",5
"amu darya river",4
"anna river",4
"boardman river",4
"camp creek lake",4
"danube river",4
"peach creek",4
"rainbow lake",4
"crowley lake",3
"ford river",3
"glacial lake vitim",3
"imau river",3
"pechora river",3
"sabana river",3
"san marcos river",3
"sandy river",3
"stony creek",3
"wabash lake",3
"amazon river",2
"bodensee",2
"brownwood lake",2
"burt lake",2
"cemetery lake",2
"chesapeake bay",2
"colby lake",2
"cranberry lake",2
"dagget lake",2
"derby lake",2
"elk lake",2
"galveston bay",2
"ili river",2
"indian lake",2
"intermediate lake",2
"jacks creek",2
"lake bolou",2
"lake bolshoye toko",2
"lake chanka",2
"lake khanka",2
"lake kubenskoye",2
"lower two medicine river",2
"manistee river",2
"misery river",2
"ninilchik river",2
"río aguarico",2
"río san pedro mezquital",2
"san antonio river",2
"union lake",2
"volga river",2
"aral sea",1
"au sable river",1
"benway lake",1
"big chub lake",1
"canadian river",1
"cranbey lake",1
"dnestr river",1
"englewright lake",1
"farlong creek",1
"hart lake",1
"hilltop lake",1
"iowa river",1
"kalamink creek",1
"kura river",1
"lake ala-tly-cul",1
"lake austin",1
"lake bloomington",1
"lake fort phantom hill",1
"lake leon",1
"lake mcconahoy",1
"lake villi",1
"laredo lake",1
"lena river",1
"mill creek",1
"murphy lake",1
"navidad river",1
"north pacific ocean",1
"ogontz river",1
"ovid lake",1
"paint river",1
"park lake",1
"pomeroy lake",1
"prairie lake",1
"river isky",1
"río yasuni",1
"san gabriel river",1
"scotts lake",1
"silver lake",1
"stigall's lake",1
"susamur river",1
"trinity river",1
"wabasis lake",1
"willow branch creek",1
"wolf creek",1
