"Waterbody","Count"
"atlantic ocean",6590
"atlantic ocean; caribbean sea",3374
"caribbean sea",3079
"pacific ocean",2497
"atlantic ocean; gulf of mexico",1576
"indian ocean",1467
"adriatic sea",347
"atlantic ocean; long island sound",255
"pacific ocean; gulf of california",190
"atlantic ocean; sargasso sea",179
"southern ocean",171
"pacific ocean; philippine sea",140
"pacific ocean; philippine sea; pago bay",98
"pacific ocean; philippine sea; bile bay",76
"gulf of mexico",65
"north sea",55
"atlantic ocean; delaware bay",49
"bay of fundy",45
"atlantic ocean; cape cod bay",44
"southern ocean; dallmann bay",29
"atlantic ocean; gulf of mexico; pine island sound",27
"long island sound",22
"atlantic ocean; buzzards bay",16
"atlantic ocean; mattapoisett harbor",16
"gulf of california",16
"pacific ocean; gulf of panama",15
"pacific ocean; albay gulf",14
"atlantic ocean; vineyard sound",13
"atlantic ocean; pamlico sound",12
"atlantic ocean; cayman sea",10
"buzzard's bay",10
"pacific ocean; puerto refugio bay",10
"atlantic ocean; gulf of maine",9
"atlantic ocean; massachusetts bay",9
"pacific ocean; philippine sea; agana bay",9
"delaware bay",8
"indian ocean; clappenburg bay",8
"atlantic ocean; chesapeake bay",7
"atlantic ocean; gulf of mexico; pensacola bay",7
"cape cod bay",7
"atlantic ocean; katama bay",6
"mediterranean sea",6
"pacific ocean; gulf of california; conception bay",6
"atlantic ocean; hudson bay",5
"pensacola bay",5
"ross sea",5
"atlantic ocean; block island sound",4
"atlantic ocean; casco bay",4
"bering sea; norton sound",4
"bering strait",4
"red sea",4
"albemarle sound",3
"atlantic ocean; biscayne bay",3
"atlantic ocean; gulf of maine; cape cod bay",3
"atlantic ocean; north sea",3
"atlantic ocean; salem sound",3
"atlantic ocean; ushuaia bay",3
"bering sea",3
"hudson bay",3
"kotzebue sound",3
"massachusetts bay",3
"pacific ocean; gulf of tehuantepec",3
"pacific ocean; south china sea",3
"southern ocean; bransfield strait",3
"atlantic ocean; barnegat bay",2
"atlantic ocean; caribbean sea; exuma sound",2
"atlantic ocean; caribbean sea; limon bay",2
"atlantic ocean; pine island sound",2
"bay of panama",2
"conception bay",2
"gulf of maine",2
"gulf of saint lawrence",2
"limon bay",2
"pacific ocean; gulf of panama; st. elmo bay",2
"pacific ocean; philippine sea; sella bay",2
"south china sea",2
"arctic ocean",1
"arctic ocean; beaufort sea",1
"atlantic ocean; bay of fundy",1
"atlantic ocean; bay of maine",1
"atlantic ocean; chincoteague bay",1
"atlantic ocean; great egg bay",1
"atlantic ocean; indian river bay",1
"atlantic ocean; little narragansett bay",1
"atlantic ocean; mediterranean sea",1
"atlantic ocean; salt bay",1
"atlantic ocean; sheepscott bay",1
"atlantic ocean; shinnecock bay",1
"atlantic ocean; silver bay",1
"baltic sea",1
"bass strait",1
"block island sound",1
"escambia bay",1
"gardiner's bay",1
"gulf of oman",1
"james bay",1
"mobile bay",1
"pacific ocean; philippine sea; talofofo bay",1
"pacific ocean; puget sound",1
"pacific ocean; salina bay",1
"pamlico sound",1
"panama bay",1
"puget sound",1
"san felipe bay",1
"sargasso sea",1
"sea of cortez",1
"southern ocean; arthur harbor",1
"southold bay",1
"tasman sea",1
"vineyard sound",1
