"ASIHCode","RecordCount","SpecimenCount","NA"
"ANSP",146742,1500101,1500101
"ARK",5849,157857,157857
"AUM",66980,728806,728806
"BPBM",39982,103425,103425
"CAS",207444,1312214,1312214
"CSUC",408,2212,2212
"CU",90894,1253561,1253561
"FMNH",108519,872714,872714
"FSUCML",1015,2461,2461
"INHS",110741,888610,888610
"JFBM",39904,335200,335200
"KU",51696,1524019,1524019
"LACM",175414,2790511,2790511
"LSUMZ",17672,329902,329902
"MCZ",173495,173495,173495
"MMNS",63414,1015618,1015618
"MSUM",8191,0,0
"NCSM",80110,952987,952987
"OKMNH",56403,1978306,1978306
"OS",19218,130775,130775
"OSM",100133,433945,433945
"SBMNH",2006,2006,2006
"SIO",115846,1382653,1382653
"SUI",62,23,23
"TCWC",50176,751530,751530
"TNHC",60109,1350695,1350695
"TU",203846,7407714,7407714
"UAIC",92766,1114630,1114630
"UAM",10031,47468,47468
"UCM",3547,38508,38508
"UF",225524,2413751,2413751
"UMMZ",197376,3461252,3461252
"USNM",407231,2603610,2603610
"UTEP",98,1322,1322
"UWFC",150169,7737341,7737341
"UWZM",4601,57170,57170
"WNMU",379,1713,1713
"YPM",29759,267460,267460
