institutioncode,collectioncode,freq,recordset,,ASIH Code,
uf,fish,10911,c38b867b-05f3-4733-802e-d8d2d3324f84,,UF,
omnh,fish,10197,78ee1a12-9e8a-4d9c-84de-e2dfce4e1447,,OMNH,
"ohio state university - fish division, columbus, oh (osum)",fishes,8324,87fee729-2a4e-4d23-ad8a-5e03e1ab7c1a,,OSM,
ua,uaic,8043,More than one recordset,,UAIC,
tnhc,ichthyology,7473,5f105976-5a5f-4a72-850d-2059a80f7c10,,TNHC,
cumv,fish specimens,3761,4fecde59-9f59-44eb-ab6f-4a50b4ed85cf,,CU,
ansp,fish,3737,11d3ad3b-38de-4709-8544-ec3c26d96607,,ANSP,
fhsm,fhsm-i,3215,8960fcec-05c0-43c5-a83e-87ace7d3091d,,MHP,
ku,kui,3163,598cda6a-75a8-4ba3-b169-3fa4a285ed86,,KU,
tcwc,ichthyology,2291,79dfdec6-3e24-489c-a7ce-85dcc52bc3f9,,TCWC,
rom,fishes,1360,387ae47b-8641-4e3c-ae66-d1e20d93cf32,,ROM ,
lsumz,fishes,1120,6d9d4f55-4cb4-4c8f-acc7-b465eb5f703c,,LSUMZ,
fmnh,fishes,1046,a7020dbf-35fc-46e8-a441-c0a6b957193c,,FMNH,
mcz,ich,1037,271a9ce9-c6d3-4b63-a722-cb0adc48863f,,MCZ,
msum,ic,898,2b946e47-7b37-48dd-83bb-fd892c026f9f,,MSUM,
uf,uf,886,f9a33279-d6ba-41c7-a511-ef6adfcb6e20,,UF,
uafmc,fish,839,55d60f69-eee9-4386-952a-805dfb71830a,,ARK,
ypm,vz,549,More than one recordset,,YPM,
lacm,fish,272,2d853a6d-50ec-4931-8e91-48fc2491fdee,,LACM,
cas,ich,252,beb74dc2-22ea-49e4-b1e3-bedb8e06e8f2,,CAS,
uwfc,adult collection,207,b3d38693-5f9b-484d-aca3-6cefcc5b08e0,,UW,
cas,su (ich),188,beb74dc2-22ea-49e4-b1e3-bedb8e06e8f2,,CAS,
ism,ism-fish,180,eaed5ba6-aa32-4a57-a9e1-afc6b01d1c98,,ISM,
os,fishes,153,4a1f1862-cb5f-42c5-b3c8-bfc51b1fd140,,OS,
ucm,fish specimens,118,e6b4d68a-59b5-4b74-a5ce-daadd930d3ca,,UCM,
ku,kuvp,93,1ebb0c8e-31f2-4564-b75d-65196bee4f09,,KU,
fsucml,zoological collection,40,fa83c2bd-926c-42f1-8cd4-d57c5fd21f33,,FSUCML,*not in ASIH
university of alberta museums,uamz,33,More than one recordset,,UAMZ,
ku,kuit,31,0f53b3e3-c248-4026-a070-15c3fefdbbc0,,KU,
uwfc,skeleton collection,27,b3d38693-5f9b-484d-aca3-6cefcc5b08e0,,UW,
csuc,fish,22,8660ce9a-31c9-48ee-b5bc-9e6ba248ec0f,,LACM,
wnmu,fish specimens,20,0a8f691f-004d-41d8-89fb-9f808a8268c5,,WNMU,*not in ASIH
royal ontario museum: rom,vertebrate paleontology,19,2d86bdb0-a563-4a35-b990-469e9e896712,,ROM,
nrm,nrm-fish,17,021e2617-7532-4cef-806c-690bed32ab84,,NRM,
sbmnh,fh,14,9d8ced48-62c5-4ce0-99e7-a03550c674c0,,SBMNH,
ucmp,v,12,5ab348ab-439a-4697-925c-d6abe0c09b92,,UCMP,
clo,ml,4,da67ebd9-52de-444d-b114-e23c03111ac6,,CU,
instituto nacional de pesquisas da amazônia (inpa),"coleção ictiológica, instituto nacional de pesquisas da amazônia (inpa)",4,9e103d5f-fc45-4375-b416-802659e6dc1b,,INPA,
bpbm,i,2,a6e02b78-6fc6-4cb6-bb87-8d5a443f2c2a,,BPBM,
msu,vp,2,9dce915b-3de4-4a7d-a68d-e4c4c15809ce,,MSUM,
uwfc,larval collection,1,b3d38693-5f9b-484d-aca3-6cefcc5b08e0,,UW,
,,21852,,,,
