"dwc.institutionCode","dwc.collectionCode","idigbio.recordset","freq"
"fcb-uanl","uanl","0c88b9e2-1b9b-4578-9bb8-e7414cc09dbc",746
"encb-ipn","encb-ipn-p","f16e6d76-14c8-411f-83dd-f53926c6147b",260
"nhmuk","zoo","3c9420c9-c4a8-47dc-88b7-b5638ca5e716",260
"zmuc","fisk","d9dac6f3-c7bc-48fc-a917-4fc9e4d6da32",73
"dictus-uson","uson","641115f4-abb8-4658-8f38-2db1e7b17270",60
"fcm-uabc","ci-uabc","d1b5070b-4c78-4069-9f99-048378a3b140",38
"encb-ipn","encb-ipn-p","af1f5e61-84d7-4b8c-ba97-00fe609c08f4",29
"fcn-uaq","buaq-p","f98ef42a-4d06-4b4f-a284-9c46dd2b9331",20
"encb-ipn","encb-ipn-p","67bd4898-23ba-45b8-bc44-8efe56eaf92a",19
"cns-ut","tnhc","f77cbbfa-658c-4816-965b-a6a500219636",17
"ups","zen","d6ac6bcc-5473-46ae-a2b9-ca1813bc2438",16
"am","ichthyology","5aef068f-efd3-4851-a623-f542e97350cd",14
"nmv","ichthyology","d598446c-2b25-4d5d-a983-99be53001203",14
"fcm-uabc","ci-uabc","805aa4e1-bb32-436e-97f8-a8d28ebef28e",10
"ecosur","eco-ch-p","2812522a-8fe9-4b30-9ab4-a85e8196e7c8",9
"encb-ipn","encb-ipn-p","c4b0239c-44fd-417a-8885-d14830c11ffb",7
"fcn-uaq","buaq-p","66e4324f-e76d-4ba9-b1a1-c06e1141301b",7
"ibunam","cnpe","f77cbbfa-658c-4816-965b-a6a500219636",7
"ummz","ummz","f77cbbfa-658c-4816-965b-a6a500219636",7
"encb-ipn","encb-ipn-p","0f99d9f4-ba3e-46e2-afa8-14f9251a94f7",6
"mzlu","pisces","858a7761-82a5-47df-8e8a-dbc8806cf424",6
"ecosur","eco-sc-p","e4c75279-33d3-48f1-9b4f-667135aab8f2",5
"fcb-uanl","uanl","623a361f-203f-41d9-bced-c911c9d1478e",5
"ibunam","cnpe","5a9ca11b-ade3-409d-b811-b4637647d5f8",5
"msu","vp","9dce915b-3de4-4a7d-a68d-e4c4c15809ce",4
"naturalis","pisces","4790a6a0-ce11-4cd8-8cad-4b2032a55c1b",4
"qm","fishes","2292f5d5-d39f-4944-be72-fa5dd62f581c",4
"fz-uach","fzuach","f77cbbfa-658c-4816-965b-a6a500219636",3
"cas","cas-ich","f77cbbfa-658c-4816-965b-a6a500219636",2
"madug-ugto","madug-ic","3602074e-1160-46a8-b796-349eb14b598a",2
"magnt","fish","24aa66d3-86a3-44a7-b6a3-6a45edc1e6a9",2
"mbml","mbml-peixes","3f5c29cf-9b20-4476-90fb-0399c7c51a0b",2
"cas","cas","805aa4e1-bb32-436e-97f8-a8d28ebef28e",1
"cib-uaem","cicib","7e74ff72-c969-4ab6-bdf4-b3ec60d65c48",1
"iizd-uaslp","cziizd","dce98228-c00d-4532-a614-c20384e34e24",1
"msu","vptc","9dce915b-3de4-4a7d-a68d-e4c4c15809ce",1
"no disponible","no aplica","0604a91b-bb40-4cd4-a521-c11d3a38681d",1
"no disponible","no aplica","fb88e9c7-3e72-4a80-b247-c9f9452ecbaa",1
"sama","ichthyology","482990c6-da88-4d99-8cf4-ccd27ee82f44",1
"wam","ichthyology","c1fa848f-ec37-4cdb-930b-c38de2ae63e6",1
